No,length,Go,Naive,RK,BM,KMP
1,258,395.2854999999996,590.8735000000021,925.9446999999992,2929572.7165999855,2287790.6543000066
2,1537,1505.985499999997,3171.677999999996,3047.7683000000006,2322920.831300001,2985433.1012000106
3,1447,937.3049000000017,2685.445400000003,2161.8721000000055,2576705.5277999984,2897408.3376000044
4,3576,2599.3981999999946,8732.517200000015,5062.1293000000005,3058797.7229000004,2502454.7312999903
5,1789,1097.370499999995,4888.366000000017,2611.4708999999916,3815961.1160999928,2312908.9806000027
6,1693,1248.0513999999982,3775.2260000000033,3225.6345000000156,3928199.9084000103,2566069.6804000116
7,1675,1330.8962999999915,2996.8931000000084,3004.468299999996,2390260.7872000015,4178365.6516999956
8,323,301.42270000000156,572.9519999999997,1303.3869999999943,5385879.928400007,1276144.4597999984
9,2868,2914.377700000016,6365.684000000013,4116.7374999999965,3135665.6540999915,3530693.699700002
10,1446,961.1734000000016,3223.635199999998,3087.1500999999967,3989947.7077999925,2888587.0042000045
11,3039,1985.8616999999952,6423.901199999992,4583.3947000000135,4383521.893799993,2492897.685999995
12,2145,1292.4090999999967,4153.433600000027,3209.0205999999866,3304927.939999994,3750742.7228999934
13,3412,3881.086400000001,7346.185200000009,4145.37210000003,2381392.3636999945,4702646.942299997
14,5138,3439.2542000000026,11118.481200000026,5828.744800000008,3145243.241899998,3516547.0499
15,3222,2913.0360000000014,8013.847399999999,5952.777100000027,3970361.9005000032,3203476.864100012
16,305,350.52010000000075,644.458300000001,1031.4487000000013,3537618.622099995,3746100.753899987
17,1517,954.216599999997,2556.812499999992,2570.4891999999973,4422580.456499978,2844887.277699995
18,2570,1983.8898000000047,4413.204999999984,3507.4010999999864,3952878.002399983,3253294.883500002
19,3273,2422.1117999999974,7607.9325999999655,4110.763099999995,3540021.4068999956,3670671.310099998
20,2537,1691.8433000000023,4531.657900000005,3978.630200000001,2928182.0715999845,4358110.090099998
21,3732,4123.351099999998,9051.460000000014,5774.994300000018,3952831.4069999903,3261873.506599989
22,2864,2865.8471000000172,7723.18959999999,4120.045900000015,3536591.3670999943,3755524.3021999933
23,3717,2641.2098999999944,8849.696099999981,6109.977299999995,3411245.080600017,3879069.892099991
24,3274,2341.7753999999727,6821.193399999998,4731.076299999986,3299363.317399987,3997874.3855999955
25,3099,2225.9468999999976,7313.26640000001,4314.825499999981,3356008.230200005,3946505.7626000005
26,2948,2116.6934999999976,6076.280999999999,4118.23109999999,2349238.7522999914,4978430.765599999
27,5142,3699.8361000000073,9491.478999999978,7723.915899999992,3537074.3988999943,3543540.737600002
28,5007,3995.8325000000023,12282.361399999942,9510.505900000006,4582363.095699996,2493172.971300001
29,1787,1554.9684999999952,4352.582500000008,3838.2827000000093,4487944.949800007,2924511.230799996
30,4921,3112.3250999999977,11458.505299999999,7623.610500000023,3333900.803200004,3949936.9432000048
31,318,462.6588999999998,613.6808000000012,1023.7077000000028,3189019.6984000057,4281947.102099991
32,791,619.4430000000007,1788.2490999999973,1514.906200000002,3695361.030600009,3798768.5639000176
33,1982,1226.390600000011,3425.6690999999983,3013.2965000000127,4958413.23740001,2514456.972699998
34,1636,1088.0160000000033,3384.072799999986,2516.223099999986,4710633.686999995,2715365.1877999846
35,1495,1359.750800000003,3303.7635999999857,2879.2332000000024,3959772.68699999,3556052.579699999
36,1769,1256.8554999999994,3516.196299999989,3649.5476999999983,3261881.734200003,4255544.940999991
37,2883,2376.0551999999957,6868.6903000000175,3950.427200000005,3354021.0952000134,4074505.706600026
38,3062,2178.3344999999968,6872.165399999974,4881.307500000009,3524956.5170000163,3898649.5693000136
39,2961,1840.6987999999985,6664.388500000014,3920.024999999985,3227454.8183999937,4272757.939699985
40,5004,3206.4208999999996,10434.047899999992,6061.2432999999755,2516743.2374000032,4757047.674400011
41,4578,3245.804000000015,9514.492100000012,6870.600200000007,2923161.1791999964,4350531.45099999
42,4420,2880.6966999999945,8804.391900000019,5851.522700000007,3143459.5333000063,4299009.434599983
43,4318,2945.655400000011,9856.898300000046,6755.313900000006,3291957.1996999993,4162123.250800004
44,1768,1340.882,3448.868299999993,3302.4213000000145,3267977.792800003,4329256.650499992
45,4361,3512.801800000008,11681.11040000002,5617.0925999999945,4159651.9582000165,3316115.427300008
46,1177,1258.8093000000015,2412.188799999991,2118.8270000000066,2877626.4993999926,4814552.133899995
47,2098,1315.8183999999953,4754.571400000006,3678.2295999999938,4333645.868699992,3332469.9902999927
48,2587,2484.2393999999913,5748.298900000012,4573.292600000004,4380095.503400021,3227988.4250999964
49,1415,1069.6326000000113,2813.6235000000033,1918.5382000000052,4555734.328999988,3161653.6384000075
50,3387,2975.374299999985,7020.542900000003,4736.302100000004,2733881.098999993,4880804.478500028
51,3723,2338.1734000000024,8547.658299999983,6188.433399999987,4876614.521400017,2815550.8874000018
52,2633,3084.8923,6805.975999999977,3557.516100000006,4028666.8401999907,3668874.7242999966
53,3278,2375.458199999992,6579.2835999999725,4536.738399999997,3577181.775999996,4118310.6671000035
54,3929,2860.838899999995,9563.477199999976,6365.592200000045,2925362.4195999904,4766750.512699998
55,1420,1313.2763000000011,3387.6459999999965,2750.198999999997,5042399.65940001,2694701.9911999987
56,5195,3242.354200000004,11301.56339999998,6073.710999999988,3344707.8644000045,4116547.5698999967
57,2519,2465.4209000000005,5153.948899999965,4522.792799999983,2588412.58969999,5127687.573200018
58,4060,2515.153599999988,10892.78690000006,5518.813299999963,3343908.2604999994,3906266.341799989
59,4794,3439.3432999999936,9666.176700000007,7230.126299999998,3098411.722199986,4370944.978599996
60,4204,3158.7761999999957,10266.200099999973,5867.136499999991,3347393.0442000087,4118965.9512999905
61,5025,4191.049900000001,12080.196699999968,6716.975199999995,3971844.324899985,3494347.0558999893
62,2270,2025.3129999999942,5766.478400000019,3389.8321999999907,3163077.068099998,4629104.904599962
63,4348,3607.026200000008,8485.423599999973,6043.534099999995,2694832.78750001,4779309.744699977
64,1377,956.2843000000022,3367.3574000000053,2222.6602999999977,3327853.535400009,4484579.70109997
65,2908,2131.194200000005,6905.268599999989,4492.75589999998,3847133.590299987,3931431.6176999896
66,3801,2328.0244999999986,7795.344399999981,5139.886500000016,4153005.306899995,3439809.656200015
67,2922,2520.8140999999955,6034.594099999982,4630.617800000015,3946305.5618999875,3869733.483800007
68,285,97.32639999999999,496.7832999999997,1056.6905000000042,3816187.3240999985,4064411.7674000114
69,289,95.37029999999989,686.9122999999969,1009.807599999999,3518890.057900015,4348588.342900005
70,1945,1586.299900000004,4414.474600000028,3552.5259999999976,3721967.2484999965,4150878.087100007
71,1677,1033.119400000005,3147.405099999995,2328.2296999999985,2955497.7825999935,4958142.535599987
72,1572,1064.902800000002,3414.939200000019,3641.162999999993,3981118.799600004,3938471.5357999853
73,3730,3158.2402000000006,8226.72699999997,5024.836299999997,3578409.350699995,4317236.657099996
74,3979,2907.8286999999987,9953.130099999991,6264.749399999998,3363722.589700002,4303912.562299983
75,991,697.3238999999998,2600.7519999999986,2046.746600000014,3459878.3920000023,4492943.237600011
76,4246,3488.6450999999934,9230.066800000022,6716.741300000009,3515408.172600004,4152712.803200002
77,5088,3358.011200000019,12409.431600000005,7777.297700000006,4334692.48669999,3510755.1572000105
78,4194,3120.5595000000035,9170.97919999999,4921.401499999958,3524628.688000009,4331378.295600017
79,4399,3477.3336999999983,10128.634999999997,5573.0342,3947126.206100015,3912182.163600013
80,4070,3647.482899999998,8640.494700000041,6080.860800000003,4133156.2763000326,3726244.1289000018
81,1688,1862.2027999999914,4169.1242,3126.1448000000073,3932810.716300006,4077544.65340002
82,1812,1159.0260999999969,3824.7608000000014,4272.208700000015,2949798.164699999,5063404.578700003
83,2980,1884.7996999999993,5561.970200000023,3842.222300000005,4070697.1493999753,3926583.5320000187
84,2301,1627.6127000000051,4481.887499999999,3747.373000000003,4252212.233700008,3756584.05839999
85,3363,2555.161,7980.245200000016,5186.6221999999825,3124923.9811000037,4880980.335800004
86,287,115.19580000000019,515.2142999999987,1013.0826000000035,3665087.981000012,4409947.227499981
87,601,699.1947999999971,1221.1729000000034,1795.1162000000008,4323691.103499981,3762150.210099999
