No,length,Go,Naive,RK,BM,KMP
1,2,933.4619000000017,12398.255200000023,8276.485299999995,64219.60949999999,1158185.3735999975
2,1,71.71830000000018,351.07099999999997,243.84899999999925,1014.534800000001,2390906.483700014
3,3,7881.726800000037,28079.007799999956,20732.625400000023,279927.7619000003,1619454.7794999979
4,4,25948.186199999862,94363.94129999992,55021.95340000009,706226.3219000032,3367993.5889999806
5,39,189315.62119999988,707222.8220000018,372395.4571999994,4372008.198200005,3079494.660200003
6,42,229127.62660000086,695157.2910000004,368746.1734999993,5855412.403999997,2309313.073500002
7,15,180777.1591000002,651089.1468000005,384123.9971999987,4105166.7474000095,5314489.299200012
8,37,207896.24940000026,709904.0952000002,381947.5560999993,7453649.560299989,2390721.0222999947
9,32,204838.68549999973,753568.3193000021,363814.0685000003,8482798.663699936,1524889.2414000025
10,27,193291.63560000126,667678.6291999995,367584.7533000029,7019178.764499983,3074842.572800013
11,35,181880.0816000006,660865.9099000022,363130.3670999998,8933474.303299984,1523608.4162000031
12,49,186279.76929999996,678735.6563999975,378975.8716000005,7442623.632899979,2370490.625699991
13,26,212278.98680000022,657210.3458999975,410887.3273999999,7174820.7561000055,3806619.491600006
14,23,215654.93639999934,689867.6688000014,394607.27930000063,9680780.948500002,1379154.8290000022
15,22,199714.7908999998,649726.8126999979,338327.23749999906,8129200.02800001,3189478.030699999
16,24,197841.05770000085,710412.750099996,382601.7373000006,9475539.086499987,2385767.435600015
17,45,196049.31680000044,682018.6255000002,401303.007,9874788.142799981,1429610.753399999
18,40,212225.77820000052,668515.8030999986,338472.2369999989,8530975.266499963,2936847.951599999
19,38,183310.0064000005,672926.6180999989,386514.06270000135,9910233.469099993,2329026.0225000037
20,59,217530.16939999984,682671.1943000002,360577.1048999998,8322221.765300026,3888464.9364000163
21,5,43726.04890000007,157776.6609999995,97905.60170000045,1202513.5528999984,12457194.58679999
22,29,242417.41439999908,702412.0799999988,371813.8982000003,7658411.493199991,4826533.649199986
23,31,213033.96699999992,752879.1850999985,369849.76549999835,8464329.439300017,4108355.144800004
24,34,228318.12000000058,721509.0540000012,391934.4969000018,11049004.384700034,1556992.698099994
25,50,194005.9192999994,677152.1389000007,368916.0336999994,11399036.2956,643439.3449999994
26,21,225209.9241000004,743197.1216000008,396768.9593999996,5875896.722799982,7031180.355899966
27,46,216183.2462000004,635169.0734999998,369462.6785000002,11357086.704800036,1398252.8773000026
28,33,223404.2030000004,647253.2172000023,395320.9553000007,9907164.745599998,3614060.0468000104
29,18,191144.55810000058,650131.2597000012,352026.11420000024,7095745.020300003,6542729.761900033
30,19,227368.30099999942,669855.3013000011,369274.790199999,8773281.680499999,5650950.574999974
31,57,205072.4855000003,704413.3927999998,363888.7797999995,11074918.1632,3119015.6046000174
32,65,326974.70889999985,664999.9963000019,345273.87109999923,9977052.656300008,4677928.674399998
33,48,180190.77989999935,649278.7192000027,362108.2795000002,12057917.077500006,3225405.676199994
34,41,184430.19950000002,715657.4569999985,377685.47160000063,11555927.175999966,3661553.847699987
35,44,207032.83319999964,669779.4262000013,374011.0459000003,8966729.769200042,6216445.668599989
36,28,222764.0229000016,696422.9038000002,342979.5730999996,7670436.535000033,7856598.957899979
37,58,195031.0776,742090.0909000019,355351.82389999815,10530170.05150006,4752144.068399984
38,53,216906.80770000015,731561.1215,368817.6387999998,9582819.723999979,5701456.379100025
