No,length,Go,Naive,RK,BM,KMP
1,3,133.87580000000048,499.0742000000017,353.7422000000011,3688.950799999998,20435.78809999992
2,1,50.89680000000013,59.14339999999997,53.70159999999988,70.5214000000001,42540.594699999936
3,2,71.28490000000026,84.09640000000009,78.31610000000012,301.64450000000056,140889.23339999988
4,5,419.92609999999956,4995.234000000016,2368.3206999999984,21550.022999999986,199840.3501999999
5,4,266.7968000000001,1772.4157999999939,1003.5813999999981,10197.155000000048,226168.9623000005
6,7,1165.5268999999967,14713.802200000002,5064.758699999998,45202.343199999865,177164.18129999912
7,8,1411.4054000000012,17568.742499999935,5302.934900000014,47192.69600000023,169614.9597000005
8,12,1631.206000000004,16021.873000000065,5183.777499999982,39368.90330000021,249971.24370000017
9,35,2497.99730000001,15118.722599999972,4673.056599999988,35250.50130000009,283824.7004000013
10,24,2207.5813999999887,14927.053099999976,5590.732099999995,35640.07909999991,323334.7750999997
11,14,1625.9787999999965,16505.898099999988,5819.242299999989,38520.19900000008,318888.02149999863
12,9,1548.575200000003,15285.15829999999,5074.433399999996,42436.575799999984,320610.81259999995
13,6,1327.0244000000007,10782.841699999994,4521.488000000011,40761.8253000002,390110.9315999998
14,15,1581.3609000000001,14603.690400000007,4842.518900000008,35682.610300000175,388151.1567999999
15,21,2197.687200000002,15259.531399999982,5235.196000000002,35118.27880000004,387808.7319000007
16,11,2431.32309999999,14855.409700000013,5087.17789999999,40107.10309999977,306659.2187000003
17,10,1864.3539999999991,15736.444000000003,5990.658499999989,42307.60779999993,396233.821500001
18,16,2193.548199999998,16617.921300000093,4988.391400000029,35707.25380000008,389164.43130000023
19,18,2042.7237999999995,15453.051299999994,4773.547799999978,36114.71250000008,386998.52670000156
20,38,2058.679500000003,15022.867499999975,4608.16089999999,34254.77380000022,422156.85869999917
21,25,2640.3463999999944,15738.031299999957,5763.203500000004,34857.84919999996,486982.9828999981
22,13,1727.1700000000048,14985.110500000035,5602.606100000003,38033.59149999995,491236.71220000193
23,48,2532.268100000005,15733.10869999997,4894.019799999997,35214.25310000033,550442.4856000046
24,22,2079.799200000001,16208.5076,4761.148399999997,35109.02219999985,534558.9405999982
25,30,2104.8810999999914,14598.568899999982,4680.412699999998,33879.22609999997,579004.2462000039
26,23,1974.7004999999995,16265.415800000015,5115.092899999995,35308.096999999856,600273.7327999996
27,17,2175.1984,14643.471800000001,5225.0221999999985,34826.49330000001,568525.856900002
28,26,2394.0159000000062,15486.79369999998,4596.992799999957,34581.9758999999,609315.0682000039
29,47,2184.7990000000077,15718.28389999998,5101.844200000011,33917.25730000007,574824.0923000016
30,42,2460.631900000009,15167.67809999996,4674.1568999999845,35267.02679999992,616693.3591999987
31,27,2353.2382999999886,15373.44330000004,5212.214400000016,35316.44,632449.8491999964
32,19,2153.3797999999947,15343.694699999982,4711.997999999987,34878.7884999998,640821.5623000059
33,34,2193.8799000000067,15892.413200000014,4803.066399999996,34663.414700000016,660065.0746999986
34,29,1962.9823000000001,14878.520800000044,4994.888900000028,33830.461100000095,587419.0095000012
35,32,2656.929799999997,14764.737299999984,5257.722500000032,33232.389700000036,657403.1008000004
36,37,2186.3313000000085,15006.409300000003,4686.0732000000025,33821.50240000017,668764.6151999981
37,33,2364.8006000000087,15501.52000000001,4893.041599999977,35247.632099999944,668026.6731999986
38,51,2177.282700000003,15554.416800000032,4891.225500000007,36041.79040000003,668363.3488000006
39,36,2520.9967000000042,15340.485200000023,4715.485799999986,34781.532599999955,725982.0469000014
40,28,1992.9738999999988,14773.508799999978,4572.938199999995,34312.364999999976,673758.3954000013
41,41,2108.0319000000013,14708.687100000032,4670.476899999998,34321.63910000015,725933.2419000015
42,20,2774.643900000007,15039.060600000017,4957.903500000008,33566.64269999982,739673.9958999987
43,39,2144.510700000008,14717.406900000049,6469.947199999997,35596.422700000076,748349.3949000011
44,61,2218.8867999999934,15391.420499999935,4766.275999999996,36146.22880000017,773202.9567999984
45,52,2117.1320999999966,15553.021899999976,5035.0636999999715,33849.32700000011,805826.9435999958
46,43,2166.6349999999966,15891.451500000014,4952.946400000018,32723.13849999995,746425.4354999999
47,53,2218.7295999999988,15610.764799999975,4735.5734999999895,34185.9516999999,751687.5168999999
48,31,2132.8519000000038,16067.419000000025,4948.410599999994,35474.34789999981,782917.2513000007
49,69,6787.481700000019,15797.253100000022,5053.447000000008,33784.766800000194,859912.8564000023
50,60,2264.2136999999902,15408.690299999987,5044.799699999992,35583.822400000165,878702.2993000008
51,55,2083.597300000008,15524.002699999994,5052.671900000009,33152.77660000002,838218.955
52,54,2056.013200000002,15252.388799999988,5525.248000000053,35269.79380000003,882039.3019000017
53,84,6450.625600000004,16130.999700000046,4726.945400000019,35164.98169999999,905576.9380999999
54,45,2348.029899999988,15507.80250000001,4831.631399999995,34025.33310000015,921847.6163999988
55,49,2232.212799999996,15243.492200000032,4852.052799999987,35014.861400000016,893657.9124000012
56,76,5449.786399999996,16008.378399999972,4943.521800000002,36117.197800000074,926543.5202000003
57,44,2280.760200000017,16094.258199999986,5363.374599999989,33304.03269999997,891017.5151000036
58,62,2472.9168000000054,15992.116199999971,4700.861899999988,34515.29630000017,955580.6618000002
59,68,5486.895400000006,16588.780100000014,5178.151599999981,34109.62190000008,968094.0719000016
60,46,2196.0590000000084,16305.980099999964,4912.831499999996,37389.34630000015,974370.2185000009
61,50,2581.9253000000067,15650.56050000003,6032.072600000002,52794.48829999996,945477.3393000005
62,66,6203.6696999999995,16175.509700000013,4704.031999999991,35595.37159999994,979072.5921000029
63,57,2837.896400000003,15440.148400000044,5525.084099999998,34768.464199999915,967820.9294000013
64,58,2226.934999999998,15703.006399999924,5509.438800000022,34380.55429999971,1009262.6796999985
65,86,5475.299400000002,15982.438000000013,4884.290599999995,35287.41049999996,1017578.4987999984
66,40,2068.8018999999936,14645.803199999988,4570.696399999994,34273.649799999934,1045769.9925000028
67,74,5284.5918999999885,14716.558099999957,4495.0108999999975,32917.340500000115,1069508.8531999986
68,89,5374.374100000013,15558.197500000028,4710.636699999975,35862.3353000001,1068337.956999998
69,63,2267.6520999999993,15780.26160000002,4537.077399999983,34370.85159999977,1136756.1443000005
70,75,5953.032199999996,15561.427400000013,4645.547200000006,35655.50120000008,1194320.8171999974
71,59,2250.500899999993,15016.670399999985,4849.962299999986,33377.53799999994,1189440.5813999986
72,64,6441.520200000014,15796.971799999967,5188.19180000001,36503.273899999964,1170999.7496999963
73,87,5855.2516000000205,15458.56650000002,5600.1453000000065,35016.646400000136,1175677.221600002
74,82,5474.288400000007,15912.918900000019,5538.534800000014,33563.506,1186725.366099999
75,77,5522.96219999999,15443.937000000033,4893.170999999953,35110.04309999993,1263500.3751999931
76,56,2233.0612999999976,16473.8388,5155.5333999999875,34267.92819999995,1248884.2530999957
77,65,5754.027500000036,15805.238100000039,4732.435000000015,34785.84560000003,1236159.369499999
78,94,6524.025200000005,15299.22489999998,5029.880400000014,34612.054100000096,1280379.3182999997
79,73,5574.335899999973,15946.378899999945,4871.221799999985,34083.77640000007,1310210.2523999983
80,102,6446.4587000000265,14891.25530000003,5258.4053999999815,35732.65369999996,1293732.321299998
81,81,5794.91760000001,15488.961699999963,5393.989999999995,35657.421199999975,1280861.3015000008
82,79,5595.089100000043,14570.131000000041,5132.332300000022,33237.32220000007,1326628.1280999933
83,109,5699.727599999982,15438.745799999995,4601.563099999979,36613.17499999985,1299878.0525999968
84,67,5516.800599999984,16640.706199999946,4704.758600000011,34980.161300000036,1395893.5400000026
85,80,5653.6973999999855,15453.350999999982,5066.424900000006,34226.584999999825,1364475.153599995
86,118,5387.298299999978,14930.926900000013,4853.101599999989,36772.80829999982,1369884.207000003
87,78,5522.318500000031,16106.969900000051,4747.743000000029,34706.386399999945,1410444.7903000044
88,92,5530.3747999999605,15025.780500000043,4931.392500000006,34604.72540000001,1399990.0563999952
89,71,5600.100999999992,16244.404799999891,5402.401699999999,35325.84899999984,1463729.6715000009
90,96,5691.621700000026,15847.39599999999,4968.084599999982,36025.56630000002,1405862.0970000024
91,100,5789.601599999992,16102.8736,5712.809200000016,34267.16659999989,1441330.5420000015
92,142,6069.366599999994,15456.551000000003,5097.302400000003,35028.62290000037,1479814.3716000034
93,70,5679.36339999999,15818.712099999966,5752.218299999995,35844.105300000185,1498148.1860000002
94,117,5653.066699999967,15083.047699999974,5465.439500000002,34251.65039999996,1505450.5401000034
95,98,6271.137299999982,15114.320600000006,4719.956800000009,34609.41910000001,1454824.3663999995
96,97,5749.630499999999,15481.896600000005,4948.168899999998,36118.60320000003,1495463.940499993
97,101,5455.200899999991,15859.811399999984,5255.133299999966,33649.03260000004,1551156.0371999985
98,88,5792.8710000000165,15532.118399999941,4988.760499999976,35025.7383999996,1513959.8876000023
99,72,6007.25770000003,17692.02560000001,5673.632799999996,36810.739000000045,1583720.4411000076
100,90,5809.228900000033,16728.880499999916,4965.035999999995,35155.77019999999,1577953.7698000104
101,83,6263.6394000000055,16526.56370000002,5637.217199999996,36605.34939999997,1643895.6695000038
102,91,5436.892300000023,17084.306299999975,4896.865699999987,35629.00120000021,1617217.6425
103,110,6691.851899999996,15979.907899999991,5608.397399999989,38243.481900000144,1673212.0813000023
104,95,6206.772399999997,16622.859799999987,5304.42949999999,36071.281400000174,1661862.171100002
105,115,6153.850799999992,15665.269900000025,5204.507299999975,36946.01710000003,1691481.093699999
106,103,6157.712099999989,17603.771600000135,5351.915199999979,36985.45169999998,1708986.8219999946
107,123,5949.436699999962,16908.502700000077,5205.9760000000015,36060.64799999999,1724657.8821000108
108,93,6272.608599999999,17218.3523,5079.89930000001,37742.59220000015,1760760.5892000024
109,120,5981.649600000022,16896.769599999992,5280.358899999982,37497.07159999992,1807641.0400000028
110,111,5854.531200000034,16834.5666,6030.959599999976,36545.14909999989,1778619.3660000025
111,125,6633.253299999993,18265.025400000097,5716.799500000009,40142.46400000001,1926027.6587999973
112,105,6839.355800000016,16819.74139999997,5540.760099999996,39379.76529999981,1943333.6742000033
113,116,6302.760099999997,16358.360199999963,5247.591400000013,37786.00569999975,1942523.9149000058
114,113,6405.645099999993,17100.700199999963,5082.099000000012,36729.57070000007,1965451.6224
115,106,6284.4171999999935,17279.297899999987,5637.454699999998,40397.81359999978,1964038.1962999953
116,127,6390.336899999998,16734.847700000028,5593.526400000019,38246.865000000034,1933210.9307000039
117,148,7385.50769999997,19817.77720000012,6959.445299999994,40833.67579999994,1966918.0733000075
118,126,5946.399499999987,16809.063099999974,5244.078200000003,37195.837899999904,1970256.4094999982
119,119,6865.157499999993,18354.033000000043,5926.711600000005,39556.171099999825,1913061.0806999959
120,107,6405.403100000021,18347.766699999967,5876.978200000014,38435.02720000011,2001071.4627999845
121,99,6708.626399999997,17283.81629999997,5670.028900000002,39706.13860000001,1993723.0780000028
122,139,6155.230299999989,17633.288300000004,6155.692600000021,38093.24760000013,2018639.5274999882
123,108,6872.023299999999,18005.353400000102,5847.675199999994,38481.97180000012,2019125.9423999987
124,122,6642.682000000012,16484.886699999963,5272.485499999995,38048.556900000054,2101426.0014000004
125,124,6723.131499999978,18321.941600000056,6385.741499999992,39892.290699999874,2077376.9024999987
126,114,6925.397599999991,17620.29730000008,5248.847300000004,39374.3391000002,2114475.5320999967
127,146,6284.022999999994,17181.673499999997,5109.394299999995,38501.358599999956,2144228.563600011
128,112,6671.359299999993,18160.122900000013,5723.993100000003,44104.56380000008,2100559.8907000194
129,121,6294.901400000006,16488.00570000002,5258.068499999997,39936.34609999998,2164727.8886999986
130,157,6406.124799999999,18715.316900000063,5777.521800000009,40286.92380000002,2168236.2289000093
131,140,6919.648800000005,19986.193700000058,6990.391000000006,42974.89529999986,2144638.6407000073
132,147,6495.771499999981,17313.14329999998,5744.143700000001,39049.47449999988,2204044.2725999826
133,85,6671.191599999995,18169.828899999953,5657.845600000003,40816.62620000003,2232898.607399995
134,161,6763.9191000000055,18835.760899999943,5385.965999999958,41287.13989999974,2257745.3378999946
135,152,6416.7385000000195,17740.94889999997,5872.93910000002,41024.760199999924,2255149.8253999916
136,204,6770.417299999984,17467.180000000015,5770.957400000009,41871.66180000017,2274554.0610999973
137,104,6584.994200000012,17109.075100000024,5612.316100000004,40488.737199999865,2263091.5232000034
138,133,6684.448299999984,18021.64559999996,5807.103900000012,41102.55779999994,2299175.6542999963
139,137,6655.449399999986,18839.56880000004,5941.551699999982,41024.236599999924,2302155.1876999997
140,135,7110.644299999998,17173.81700000002,5752.901999999981,39815.66510000012,2347011.922300005
141,130,6377.892099999988,18332.442099999964,5307.358200000013,39738.241299999936,2309587.254699996
142,132,7021.4449999999715,19033.351899999947,5699.69379999999,40881.19150000015,2344383.71959999
143,136,6655.3833,18614.054699999953,5588.507900000027,39381.56719999995,2298576.490700006
144,159,6921.878400000004,19221.028500000048,6565.5766000000185,40565.94060000015,2357510.7162999962
145,184,6798.542699999964,17382.349099999985,6054.87410000002,41717.16700000014,2339873.897799998
146,183,6878.01339999999,17580.030600000064,5334.673500000023,39999.578699999955,2362492.985499998
147,128,6522.319699999996,17372.70050000006,5401.458100000029,39305.8553,2373979.912899997
148,156,7144.014599999995,17792.52550000006,6302.413999999996,40934.71590000001,2419983.705299992
149,158,6984.832199999996,17881.161100000034,6370.966099999997,43207.853200000136,2438939.787500003
150,153,6545.2919000000165,18590.581199999928,5735.727600000009,43313.78539999959,2396646.8888000012
151,149,6884.40179999999,19631.474600000052,6123.351699999996,39737.345600000146,2454035.532099995
152,191,6207.63630000001,18162.975099999938,5546.843500000011,41317.13980000006,2436050.327200005
153,150,6631.6855,18115.040999999976,6045.824199999993,42189.72219999988,2462311.431900001
154,138,6950.67690000001,17948.574300000048,5800.116300000024,42453.595899999884,2434713.2608000007
155,188,7221.163299999999,19177.625899999985,6143.799700000009,43561.15640000027,2525278.066400001
156,166,6717.856400000001,18997.67110000002,5854.441100000002,41711.2229999999,2468351.0405000043
157,134,7097.945999999996,20054.398199999992,5759.209100000004,42316.45259999987,2583939.0800999925
158,175,7025.596499999983,19349.751699999983,6361.860899999988,43963.24460000003,2584033.9249000074
159,141,7128.74099999999,18514.72659999998,5696.462800000002,43227.08059999993,2585445.7095999946
160,186,7044.659800000025,18101.057599999986,6370.459299999985,43405.38570000008,2575599.810700008
161,168,6573.0138999999945,17986.16550000012,5864.6096000000025,40041.34760000021,2604759.3407999896
162,151,6529.818699999992,18761.397200000065,6289.815600000032,40817.7981000001,2567420.9901999906
163,155,6640.570099999999,18198.219899999986,5926.849899999985,42431.52409999997,2614521.7431000047
164,129,6967.021500000011,17585.819300000036,5660.447400000002,42081.64479999988,2585228.072400003
165,173,6956.983099999992,19037.402399999955,6196.9857999999895,42429.334699999956,2669973.242899978
166,154,6665.418599999989,18791.019799999995,6111.646500000002,41387.27160000012,2691096.466600007
167,174,7144.381600000007,18895.565100000047,5789.518100000028,42626.24629999991,2716776.259299991
168,169,7255.221000000007,18046.819800000056,6371.85720000002,42467.09209999981,2713275.3564
169,165,6544.242300000006,18294.878499999966,5890.800400000005,41620.38619999985,2758394.872999999
170,145,7135.862800000012,18636.186599999986,5766.090500000022,41308.816500000066,2797018.844599995
171,182,7209.688400000005,18641.25060000008,6161.543900000022,43845.12730000002,2777535.382100012
172,214,7606.062100000027,19484.182299999913,6250.258299999985,42237.30029999988,2802709.7650999906
173,144,6928.504099999945,18720.942899999933,6235.968300000022,43553.295999999784,2803187.9192999876
174,196,6822.05879999999,18653.2727,6538.860200000006,43806.09769999996,2818919.1595000112
175,131,6550.496300000013,17799.301900000013,6435.878799999982,40983.48710000002,2813369.1209000004
176,179,7252.799699999992,18904.367000000017,6198.109700000003,44081.75559999988,2816237.014000006
177,162,7194.1114999999845,18524.073600000018,5841.484999999998,42169.69230000017,2859223.028000006
178,143,7209.568499999996,18627.07150000004,5983.436900000005,42555.64500000005,2812093.4458999964
179,170,7095.569599999998,18367.62709999993,5990.645000000023,43231.620500000296,2853603.879800006
180,177,6948.520799999984,18117.089099999866,6259.566100000024,44463.52459999992,2876379.4985999907
181,178,8143.438700000048,19397.09839999998,6733.658399999998,45525.27679999996,2880008.427299997
182,202,7135.378699999995,18296.976599999925,6211.338300000003,45636.09670000011,2861998.0712000085
183,211,7174.934899999992,18297.152600000027,5733.059100000007,43376.369499999935,2885182.122500001
184,164,6971.689999999995,18278.312799999992,6287.9344999999885,42534.21629999979,2934304.4275999987
185,221,7410.083699999979,19288.44229999991,6520.1749999999965,47482.18539999995,2978975.221400006
186,185,7475.517499999974,18738.59440000002,6250.756100000003,45210.02720000018,3008460.5183000187
187,180,7191.4996000000065,20001.425399999942,6277.489399999981,44110.45799999985,2997150.869300005
188,217,7306.004100000027,18210.513100000033,6527.549600000015,41968.8523,3041547.357100005
189,209,6983.313800000001,18847.304300000025,6153.049399999986,45014.4636000002,3086897.4772000047
190,197,7104.321499999998,19183.461600000093,6915.759999999996,44438.3735,3160086.172499998
191,201,7944.1289000000215,19353.077099999915,7344.159300000018,44155.18470000004,3082846.733000005
192,190,7337.047000000008,18821.227300000086,6311.498799999998,45789.2355,3182507.5076000053
193,219,7307.779200000008,19204.84119999998,6555.154199999989,46115.674600000006,3183218.0829000045
194,176,6821.502600000028,18663.81650000002,6648.495399999979,43354.711999999985,3193831.074099991
195,222,7391.254199999996,18909.08920000001,7074.5675999999785,47554.205200000135,3212179.1699999957
196,163,7471.295899999991,18304.345900000066,6102.550000000005,43810.01509999988,3208032.1969000027
197,167,7022.087399999982,18681.07749999991,6281.73499999999,46219.214199999864,3272115.5242
198,189,7288.933500000012,20287.464699999884,6431.86940000001,44861.00480000003,3190161.1117999954
199,160,7523.191399999986,19293.7397000001,6373.176900000031,45390.74969999994,3270273.523900002
200,193,8040.623300000007,21008.353400000004,6505.315699999985,46082.292600000044,3299133.5753000067
201,228,7818.799599999989,18569.85509999995,6354.342800000036,44243.07989999998,3274422.6970000085
202,199,6795.227999999985,19139.89679999998,6336.203600000002,43615.579899999866,3296252.7569000144
203,195,7073.968899999995,19130.26629999991,6272.292600000019,45224.0115999998,3310250.0090999953
204,236,7607.573500000023,18840.606900000002,6272.249000000006,45870.30699999991,3345144.7520999974
205,181,6938.96500000001,19183.504399999954,5887.636400000006,43535.30000000006,3345608.184000015
206,171,7468.104200000037,20121.88939999998,6649.722300000006,43885.71639999991,3367491.043299996
207,210,7675.3427000000165,18960.009599999983,6969.7165000000105,43947.25959999976,3369451.525100001
208,187,7593.528700000009,19836.436600000045,6269.695400000026,46076.526500000014,3370379.729200008
209,231,7110.3205999999955,19338.867800000044,6288.199299999977,46950.15800000003,3372457.9692000025
210,203,7455.118400000038,18443.458999999875,6274.75880000002,45476.08379999993,3372825.511300005
