No,length,Go,Naive,RK,BM,KMP
1,1014,165.62360000000098,1542.3797999999956,3809.7874999999954,63582.91220000005,10528501.609700004
2,1056,3562.6331000000127,1991.178899999997,3899.441099999994,55061.737600000204,11254733.857999967
3,1012,105.24819999999973,1421.0757999999998,3278.4219000000126,45688.43329999986,11291105.042899946
4,1514,5293.3612000000185,3487.6836000000058,4119.346699999987,64281.24230000007,12101336.310799949
5,1558,4209.467400000008,5988.209600000025,4988.905500000036,86136.74330000023,12736456.403100025
6,1149,7802.0799999999945,6879.950100000002,5338.732499999983,66981.96420000032,12856831.635399971
7,1308,5425.018999999988,3767.6772999999826,4095.9384999999843,60950.93770000009,12992490.511700017
8,1260,4280.888099999998,4188.438500000017,10394.825200000008,65034.111499999926,13056767.900599964
9,1273,4624.998400000008,3016.1985000000027,6056.622500000007,63696.82999999981,13071916.33
10,1235,4339.058999999997,6995.490999999988,5608.385399999981,63959.5369000003,13149399.492799947
11,1100,3187.792999999992,3754.53510000001,3805.2825000000093,59143.140899999875,13190570.384099996
12,1065,4106.462499999996,2843.816900000003,4108.955699999996,58118.54269999988,13211360.77790001
13,1312,7693.510400000005,6784.581899999997,13024.133000000025,83790.0004999997,13218152.373399984
14,1021,3009.3703000000014,1604.0241999999919,6455.3728999999985,81909.35160000023,13291657.65479995
15,1004,82.92680000000011,1484.260100000006,5758.239200000028,58578.369899999976,13391949.312099965
16,1062,4513.142700000001,3264.432799999979,10950.95960000002,72913.48379999981,13500972.60429999
17,1167,4496.642399999993,2967.5314000000003,7290.0861,61662.88530000003,13616035.748299994
18,1082,3649.0437999999963,3412.4773000000096,4532.412800000012,55147.17070000009,13707265.76390005
19,1164,5344.124500000003,2024.789899999997,4830.394500000001,62723.15369999986,13751070.482900003
20,1075,7539.611400000034,5310.800599999999,7636.40010000002,59804.1485999999,13851345.879600046
21,1039,2825.4981000000203,3157.6036000000076,4705.1950999999835,67055.94389999993,13849964.807799997
22,1032,4722.047899999988,3474.983099999998,3694.2954000000004,66527.25550000001,13862930.822099961
23,1074,2837.2791999999886,1666.3470999999995,5697.352300000031,48572.20829999995,13905450.76589997
24,1442,7096.200000000017,3064.0327999999936,5524.4947999999995,63082.75050000006,13994532.900099976
25,1066,3435.856600000003,1905.3233999999977,7522.633999999983,66311.84559999983,14095991.70849994
26,1353,5723.089499999995,4495.557399999994,8356.384099999996,57271.833100000134,14209157.759600017
27,1182,6039.50920000001,3686.403100000011,4469.4555,75572.13300000026,14120484.348499997
28,1078,3529.9418000000096,1735.4167999999986,3842.1552000000206,58299.115399999995,14306126.361799939
29,1262,6131.6184,3162.870400000011,5218.251500000019,61788.9903,14317727.966600042
30,1162,8030.582499999974,2987.403599999994,3458.0866000000024,57232.19479999985,14309491.067400005
31,1128,3699.281299999998,5775.158699999982,5330.669999999973,57237.11740000019,14356048.581700034
32,1556,9223.133700000013,6776.952799999945,5033.938999999996,73131.87630000027,14346643.534699999
33,1116,4429.430099999986,3953.098900000003,3762.4712000000036,66618.95129999999,14341263.085000023
34,1936,6677.613099999997,5080.5061999999625,9135.609100000007,62773.87099999974,14359540.665500034
35,1037,9557.166000000028,2943.458399999996,10873.202600000008,77440.53310000012,14409885.184399977
36,1158,4605.725099999999,6049.980600000001,5382.6142999999865,69164.4509999999,14337866.480200019
37,1569,9426.132399999984,7652.2969000000185,9507.934200000003,73596.47069999999,14452901.662700024
38,1008,94.65439999999992,2476.8960000000034,4377.875299999976,76444.55349999965,14475153.821399985
39,2006,6697.598100000001,4856.544399999991,6086.988199999991,72531.43209999986,14425645.398999978
40,1390,5731.935800000016,9536.317300000028,4225.011199999998,63840.26159999976,14508189.229999991
41,1203,9627.119200000006,2525.2359999999962,3931.261399999987,51738.42079999996,14729752.173400057
42,1950,7257.34320000001,5571.598199999992,8552.501500000048,87402.59909999993,14716300.590399941
43,1829,12568.137499999986,8851.699000000053,5878.3337000000065,67318.86290000014,14710747.528200023
44,1165,3470.9157000000027,2251.146100000002,4309.559499999979,63237.04340000009,14779163.309800008
45,1200,5075.7575,4389.816600000005,3958.4799999999937,81786.23640000026,14899671.610700056
46,1383,9117.076699999983,6872.753000000013,5120.393600000015,85994.56639999978,14932411.34260001
47,1345,7255.489099999997,7336.106799999994,4356.593400000008,70054.0937000007,14978087.919099966
48,1013,112.15150000000028,1689.0377999999953,8019.620800000007,59059.7962999999,14994754.342799967
49,1716,5500.228600000006,10330.22250000001,6052.478200000021,61043.1802999998,14992441.209800046
50,1873,4762.936999999989,8101.9386999999815,7933.629900000029,82553.28139999964,15018452.707000013
51,2149,8934.959899999969,6067.866600000018,4796.519900000028,53905.05220000008,15064530.534600038
52,1033,6862.309700000034,2787.7715000000144,3717.1177000000034,72542.90749999984,15198625.82989996
53,1739,5318.9783999999845,12006.30829999998,4697.511999999965,65449.35280000002,15225966.925900036
54,1108,3169.166899999995,3984.012800000028,3972.186700000002,59033.20479999988,15254167.35799999
55,1515,8782.757600000023,5487.945400000014,10505.269100000018,65322.921800000244,15342480.96439998
56,1193,4134.194299999997,4484.296299999994,9211.71060000001,64087.714900000254,15394150.315600038
57,2044,8025.858900000016,6862.509400000011,4849.052599999996,89059.9992999999,15430043.660299998
58,1217,6862.921699999984,2543.9443000000038,5536.029500000028,54511.940999999824,15488602.161300013
59,1374,5864.43559999999,4352.8326999999945,4758.807800000037,78217.86959999976,15468005.507399932
60,1682,6062.095100000009,6842.512499999995,4950.214900000021,70055.44939999972,15413104.226299964
61,1808,8570.765600000013,5009.826700000002,6251.106400000002,62236.275799999865,15524953.109099975
62,1241,10368.379299999993,4782.399300000021,4375.766600000017,67225.85189999983,15530077.687200062
63,1306,8209.947800000038,9329.075600000026,6093.789700000007,72904.72439999956,15608873.77389998
64,1711,10313.217700000003,4518.486399999996,6376.1406,76084.07500000013,15615546.583300032
65,1377,7653.37870000001,9441.525000000043,6513.5538999999835,79133.44800000032,15610345.287900032
66,2172,5249.109300000015,6881.2611000000115,9137.59260000001,98040.87630000019,15602100.728400068
67,1280,4022.956300000003,3102.5703000000062,7495.107200000016,65850.90709999968,15670688.599799968
68,1952,7694.801999999982,4962.47219999999,12366.223900000006,92715.4778000001,15737641.308299946
69,1920,5032.986100000013,6203.150400000008,7618.045899999994,59332.37489999993,15803454.390999943
70,1501,4678.040700000017,5675.635699999964,6194.2895,62141.75589999985,15833068.832500024
71,1721,8176.966799999997,6133.49879999999,3954.5358999999894,73576.49499999966,15829699.65229999
72,2144,9437.211500000001,7445.172900000049,4686.506800000016,86423.97479999991,15817750.26380002
73,1129,3352.9278999999974,2045.381900000008,8445.238800000008,64111.5458000001,15861536.74700002
74,1189,5484.471000000019,3300.029500000001,4663.299000000011,58179.12419999997,15904821.441599999
75,3324,10132.285800000012,14756.373599999977,7477.974600000033,82911.65949999983,15745382.286699977
76,1231,5344.92680000002,2622.874599999997,7041.391699999988,69146.73000000005,15899922.398299979
77,1277,4486.437499999972,7003.648299999967,7478.178800000053,69412.58869999988,15868070.93779997
78,1512,5362.506500000026,4404.986299999988,6046.779500000014,71401.51999999979,15972169.910900075
79,1548,6452.886899999987,9693.53960000001,4240.215399999978,64371.6288000001,15993784.861700049
80,1001,78.99400000000003,2154.364000000001,4181.442900000007,65942.25129999995,16029738.21620004
81,1043,2409.7290999999973,1657.3178000000007,4443.366699999999,66215.1186,16028255.399000017
82,2469,8706.457100000012,13317.10080000004,4948.535200000001,79992.53459999981,16034720.84590006
83,1242,8207.506999999987,3092.631699999998,10433.569700000027,79303.74359999983,16046803.060900036
84,1529,5275.582900000025,4571.256700000002,6146.5680000000075,54301.401200000095,16113076.150399989
85,1017,646.0005999999976,3207.963100000005,3753.9934,63116.91730000004,16099318.512599954
86,1268,6061.340899999986,4883.79800000002,5794.554400000005,62699.6814,16117353.926800005
87,2829,10061.229500000014,10674.01599999999,5245.864199999986,73438.4200000001,16084344.911600022
88,1801,10416.732400000004,6094.0929,6194.603899999977,73119.41500000036,16051467.953999953
89,2753,7327.409399999997,10781.77609999999,5618.039200000001,90833.1092000003,16110623.372799978
90,1368,5132.772300000018,3298.907699999997,4643.770300000022,67585.16020000007,16152200.182599967
91,1961,9026.373800000003,15245.240299999949,8096.172400000025,83043.18520000046,16126849.950099977
92,1546,5087.972099999987,4435.340100000016,5324.091900000007,78988.3740999998,16119545.295899943
93,1395,4026.4864999999872,6475.765600000005,8137.628900000014,67307.58439999963,16175890.545999954
94,1197,3857.303499999994,3732.252700000004,5837.088799999998,64614.29919999978,16187610.997599987
95,1980,7984.825699999959,17609.72610000004,6324.612099999998,83394.8058,16155995.607900005
96,1208,3820.0208000000007,3768.9773999999857,4363.480800000003,54911.01299999998,16202445.535999984
97,1141,3484.960699999993,2829.556799999996,6658.505600000008,89171.04540000057,16223804.976399966
98,1722,7422.494699999976,6960.034200000004,13266.311200000055,75300.36770000006,16226501.713000027
99,1676,6724.331800000007,6277.135700000023,20182.23749999992,92871.48840000032,16231872.479000038
100,1967,8947.790199999996,11211.10320000003,6995.361700000007,82808.92299999985,16295162.516699998
101,1228,5637.492600000009,7094.224600000008,7455.094699999996,78354.66799999958,16291913.461100098
102,1370,5796.894300000019,4955.001399999998,6698.814300000004,74492.12599999983,16319208.049099961
103,1612,6431.143100000008,5349.7128999999795,5200.804899999986,76787.7764999999,16356828.625299986
104,2086,9088.952000000025,6973.4362000000065,6247.650299999999,87470.13130000021,16361663.211500017
105,3751,7927.625999999979,18098.852200000012,11687.460900000005,89393.12609999989,16215469.124300012
106,2662,7074.282499999993,10835.278999999959,10796.141900000013,89101.97780000037,16359469.771599976
107,2998,7459.330499999985,10483.76349999996,7011.666599999997,85800.99249999993,16407973.728600029
108,1064,4166.979600000007,7355.506200000007,11091.7097,94429.84060000001,16424748.36840004
109,1748,6243.939900000006,5021.834299999997,7158.466399999993,73389.96609999986,16459976.002200052
110,1413,5016.61909999998,6597.886400000004,3952.489400000006,76413.58400000024,16478697.061699985
111,2365,9750.356500000002,8219.471399999993,6663.422000000011,75053.02630000006,16494072.06550003
112,1825,5240.396599999973,6136.5819,6357.62220000001,70701.07229999994,16520482.686699994
